,area,customer rating,eatType,familyFriendly,food,name,near,priceRange
449,,,pub,yes,French,The Dumpling Tree,The Portland Arms,
450,riverside,,pub,yes,Japanese,Giraffe,,
451,riverside,average,,yes,English,The Rice Boat,,
452,,low,coffee shop,no,Indian,Cocum,,less than £20
453,city centre,1 out of 5,pub,,,Clowns,,moderate
454,,,,no,French,The Golden Curry,The Bakers,moderate
455,riverside,average,,,Chinese,Loch Fyne,The Rice Boat,
456,riverside,,,no,,The Punter,The Portland Arms,less than £20
457,city centre,average,pub,,,Clowns,,less than £20
458,city centre,5 out of 5,coffee shop,no,French,Fitzbillies,,cheap
459,,,pub,yes,Fast food,The Dumpling Tree,The Portland Arms,
460,riverside,,,no,English,Alimentum,,high
461,riverside,5 out of 5,coffee shop,no,,Blue Spice,Avalon,cheap
462,,average,pub,,Chinese,Wildwood,,cheap
463,riverside,,pub,yes,Japanese,The Olive Grove,,cheap
464,riverside,high,coffee shop,yes,French,The Eagle,Burger King,£20-25
465,riverside,,pub,,French,The Mill,,high
466,,,,yes,Japanese,The Golden Curry,The Bakers,less than £20
467,riverside,,,yes,Fast food,Green Man,All Bar One,moderate
468,,average,,,English,Midsummer House,All Bar One,cheap
469,riverside,low,,,English,The Phoenix,,less than £20
470,,5 out of 5,,yes,Chinese,Strada,Rainbow Vegetarian Café,cheap
471,riverside,1 out of 5,coffee shop,,Indian,The Golden Palace,,moderate
472,,,,yes,Italian,The Vaults,,cheap
473,,5 out of 5,pub,yes,French,Zizzi,,
474,riverside,5 out of 5,,,English,The Phoenix,,cheap
475,city centre,,coffee shop,,Indian,The Mill,The Sorrento,less than £20
476,city centre,low,coffee shop,yes,,Blue Spice,Avalon,less than £20
477,riverside,average,,,Indian,Loch Fyne,The Rice Boat,
478,,low,,,Fast food,Midsummer House,Café Rouge,
479,,1 out of 5,,yes,French,Cotto,Ranch,
480,riverside,3 out of 5,,,,The Eagle,,£20-25
481,riverside,,pub,yes,Italian,The Olive Grove,,£20-25
482,,low,,no,French,The Wrestlers,,less than £20
483,riverside,5 out of 5,coffee shop,no,French,Browns Cambridge,Crowne Plaza Hotel,
484,city centre,,coffee shop,yes,Japanese,The Wrestlers,Raja Indian Cuisine,moderate
485,city centre,average,coffee shop,no,,Zizzi,,less than £20
486,,low,,,Indian,The Eagle,,
487,,3 out of 5,,no,Indian,The Wrestlers,,moderate
488,riverside,,,,,Blue Spice,,high
489,,,restaurant,yes,Indian,Loch Fyne,,less than £20
490,city centre,3 out of 5,coffee shop,,French,The Golden Palace,,high
491,,1 out of 5,restaurant,,,Taste of Cambridge,,moderate
492,,average,,yes,Italian,Strada,Rainbow Vegetarian Café,high
493,riverside,5 out of 5,,,Fast food,The Phoenix,,
494,city centre,1 out of 5,,no,Fast food,The Rice Boat,Express by Holiday Inn,high
495,,low,coffee shop,yes,Japanese,Cocum,,more than £30
496,,low,,yes,French,Cotto,Ranch,
497,,average,,,Italian,Browns Cambridge,,cheap
498,,1 out of 5,,,Indian,Browns Cambridge,,moderate
499,,,restaurant,no,French,Loch Fyne,,moderate
500,city centre,3 out of 5,coffee shop,yes,,Blue Spice,Avalon,high
501,,high,coffee shop,yes,Italian,Cocum,,more than £30
502,,high,pub,yes,Chinese,Zizzi,,
503,riverside,,pub,no,English,Giraffe,,
504,riverside,,,no,Fast food,Browns Cambridge,The Sorrento,
505,,3 out of 5,coffee shop,yes,Japanese,The Cricketers,The Portland Arms,
506,city centre,5 out of 5,,no,,Blue Spice,,more than £30
507,,,pub,yes,Fast food,The Dumpling Tree,The Portland Arms,
508,riverside,,coffee shop,yes,Italian,Taste of Cambridge,Crowne Plaza Hotel,
509,city centre,1 out of 5,,yes,Chinese,The Rice Boat,Express by Holiday Inn,moderate
510,riverside,,,yes,Fast food,Alimentum,,high
511,,high,,no,French,Strada,Rainbow Vegetarian Café,£20-25
512,city centre,average,,,English,Alimentum,Yippee Noodle Bar,high
513,riverside,average,,yes,French,The Rice Boat,Express by Holiday Inn,less than £20
514,,average,coffee shop,,Fast food,Wildwood,Ranch,cheap
515,,,,yes,French,The Vaults,,£20-25
516,riverside,5 out of 5,coffee shop,,Indian,The Golden Palace,,cheap
517,,low,pub,,French,Wildwood,,more than £30
518,riverside,low,,yes,English,The Golden Curry,Café Rouge,
519,,3 out of 5,restaurant,yes,,Cocum,,
520,riverside,5 out of 5,coffee shop,yes,Japanese,The Eagle,Burger King,more than £30
521,,average,,yes,Italian,The Wrestlers,,high
522,city centre,5 out of 5,coffee shop,no,,Blue Spice,Avalon,cheap
523,,,,no,Japanese,The Golden Curry,The Bakers,less than £20
524,riverside,,restaurant,yes,,The Olive Grove,,
525,city centre,,coffee shop,no,Indian,The Wrestlers,Raja Indian Cuisine,less than £20
526,,low,,yes,Japanese,Cotto,Ranch,
527,city centre,high,,no,Fast food,The Rice Boat,Express by Holiday Inn,more than £30
528,,high,,yes,English,The Wrestlers,,£20-25
529,riverside,1 out of 5,,,Italian,Alimentum,Yippee Noodle Bar,moderate
530,city centre,,,no,Japanese,Alimentum,,moderate
531,riverside,average,,yes,Italian,The Rice Boat,Express by Holiday Inn,cheap
532,,3 out of 5,coffee shop,yes,Indian,The Punter,Café Sicilia,moderate
533,,,,,English,Fitzbillies,The Six Bells,moderate
534,riverside,,,yes,French,Alimentum,,more than £30
535,city centre,average,coffee shop,,Italian,Cotto,The Portland Arms,high
536,riverside,,,no,Japanese,The Twenty Two,,
537,riverside,,,yes,Japanese,Browns Cambridge,The Sorrento,
538,,,,,French,Fitzbillies,The Six Bells,more than £30
539,city centre,,,no,Chinese,Green Man,All Bar One,moderate
540,riverside,high,coffee shop,,Italian,Cotto,The Portland Arms,£20-25
541,,,,,Japanese,Cotto,Café Rouge,
542,,5 out of 5,,yes,,Strada,,more than £30
543,riverside,low,,no,Chinese,The Rice Boat,Express by Holiday Inn,less than £20
544,,1 out of 5,coffee shop,yes,Italian,Cocum,,high
545,city centre,average,,,Fast food,Alimentum,Yippee Noodle Bar,high
546,,low,,,Japanese,Midsummer House,All Bar One,less than £20
547,,3 out of 5,coffee shop,no,French,The Punter,Café Sicilia,high
548,riverside,average,,yes,Italian,The Golden Curry,Café Rouge,
549,riverside,,,,English,Blue Spice,,high
550,riverside,average,,yes,Indian,The Waterman,,cheap
551,city centre,,coffee shop,no,Fast food,The Wrestlers,Raja Indian Cuisine,less than £20
552,riverside,low,,,Fast food,Loch Fyne,The Rice Boat,
553,riverside,high,coffee shop,,,The Vaults,Café Brazil,more than £30
554,riverside,1 out of 5,coffee shop,,Fast food,The Golden Palace,,high
555,city centre,low,,yes,French,The Golden Curry,Café Rouge,
556,,1 out of 5,,no,Italian,Strada,Rainbow Vegetarian Café,high
557,,low,pub,no,Fast food,Zizzi,,
558,,3 out of 5,,,English,Browns Cambridge,,moderate
559,,5 out of 5,,yes,,Fitzbillies,Express by Holiday Inn,cheap
560,,,restaurant,,Indian,The Dumpling Tree,,less than £20
561,riverside,5 out of 5,coffee shop,yes,French,Aromi,,
562,,low,pub,,Japanese,Wildwood,,less than £20
563,,average,coffee shop,no,French,The Punter,Café Sicilia,less than £20
564,riverside,1 out of 5,,no,English,The Waterman,,moderate
565,,3 out of 5,,yes,French,Strada,Rainbow Vegetarian Café,£20-25
566,,average,,yes,,Fitzbillies,Express by Holiday Inn,high
567,riverside,,,,Japanese,Bibimbap House,Clare Hall,£20-25
568,riverside,,,yes,English,The Twenty Two,,
569,riverside,,,yes,Italian,Green Man,All Bar One,more than £30
570,,,restaurant,yes,Italian,Loch Fyne,,moderate
571,riverside,,,yes,Fast food,Alimentum,,£20-25
572,,low,pub,,,The Vaults,Café Adriatic,more than £30
573,city centre,low,,yes,Italian,The Rice Boat,Express by Holiday Inn,less than £20
574,city centre,5 out of 5,coffee shop,yes,Indian,Aromi,,
575,city centre,low,coffee shop,,Fast food,The Golden Palace,,less than £20
576,riverside,average,coffee shop,,Fast food,Clowns,Clare Hall,
577,riverside,,pub,yes,French,Giraffe,,
578,riverside,high,,no,Chinese,The Rice Boat,Express by Holiday Inn,more than £30
579,riverside,,,yes,English,Green Man,All Bar One,moderate
580,riverside,3 out of 5,coffee shop,no,Japanese,The Eagle,Burger King,high
581,city centre,5 out of 5,,no,Japanese,The Waterman,,more than £30
582,,average,coffee shop,no,Indian,The Punter,Café Sicilia,cheap
583,,,,yes,Chinese,The Golden Curry,The Bakers,moderate
584,,low,coffee shop,no,French,The Punter,Café Sicilia,less than £20
585,,5 out of 5,restaurant,,Japanese,The Cambridge Blue,,
586,riverside,low,coffee shop,no,Italian,Browns Cambridge,Crowne Plaza Hotel,
587,,low,pub,,Japanese,Strada,Yippee Noodle Bar,
588,city centre,,pub,,,The Golden Palace,Rainbow Vegetarian Café,more than £30
589,,high,,yes,,Strada,,more than £30
590,,5 out of 5,,,,Browns Cambridge,,more than £30
591,,5 out of 5,pub,,English,Strada,Yippee Noodle Bar,
592,riverside,1 out of 5,coffee shop,yes,,Zizzi,,moderate
593,,,,yes,Chinese,The Golden Curry,The Bakers,less than £20
594,,3 out of 5,,yes,Indian,The Wrestlers,,moderate
595,riverside,high,coffee shop,yes,Japanese,Browns Cambridge,Crowne Plaza Hotel,
596,riverside,1 out of 5,,no,English,The Rice Boat,Express by Holiday Inn,moderate
597,,low,,,Fast food,Browns Cambridge,,less than £20
598,city centre,5 out of 5,restaurant,,,The Golden Palace,,
599,,3 out of 5,pub,,French,Strada,Yippee Noodle Bar,
